sessionID;TotalTimeHH;TotalTimeDD;CaseLength
7kMZSkaRY3tq8zodELv6ZtcfgGW15ZNgBmRLnmMICqflP07jiRGY1zcA5AGHQH6Y29qR7whbyTaWaRvjRc22LkqsxMWOYPssepXrdA0gPHr91idb4HOtFXBYMMtw02P1tEpH6z895lcwhE2rK8u0lj;0.0;0.0;1
7zAZs06fNY5tlKTyiqIPCezmheUjVsAAu6iu5LOgzBPSzXLX6UUAdMBY7E6qibEb7vXrUDPtKMsWF5yXol2EedZGcq5W4GoRoUJuBA5SqmaOCPiRydVUgg3vO6WFHvABeDbhLuPi4227mpL6LNjFK4;0.0;0.0;1
9A2UlQyd7GvIPTiPWBfmcoAfzIfnW0pVsATVAemG1RBNvjpQMu9RGyCl1HZ3emNBBDXEjJHMBGapTMGRd9L4uk58ptpCXwGmt2rE1mqNhKLLk9zentwU7xrxuAGY3HJKjC1slIL25EuSPiUr1CN4RM;0.0;0.0;1
9JMNa26x2IOb1dZojYPhT3DVqryIUGWiRzKOnckCh0vNikQJneepWnfFSHSnqZ57Q2TmRCIZgCuWmf6ymdyAcn1eiVC4AsxibmuzwV8f2SO9dLdRLJ6jJ0fTIcexbRg1sY3qM8NTe9Pr937De9X2U9;0.0;0.0;1
9T3tvlqg80v7ySub9Ofau5YG1hQgCAuyE31glPP8MY3ZC6Op46XdibB1xCZJ4RfLwqjWXgItrU1HADCyybJQorYRHJ4Knkn2DEV19VbylhkD7j8y26OA70GVPrnKOnuAMA9O7cvwObLNN7ppKWlLXp;0.0;0.0;1
9uJmgma3IeowfwWmtvgXj568MfCJLx14r6WUlk8Jxc3yJdya8cilMZGwromnaGGzGzltNcfDsspw3vDQYgpgjbLwnOL1ioBA6BISSvkseApfUzob4QYpbJTTl310BrR5mf4s2zKTdmahoYmbduCLMT;0.0;0.0;1
ACZs1bzkDW9ZmH5pAf8GlaS5N3TChetBPD04FneefmCpIjSh5cUEG83LYiCJ2JhVIjM0q2MNwriBa5E6d1QLppS3whX7IwS5Ua0G4tDHJsiUL7JhGITiZei47t2d634Y61gl0BmcNcS6K0v6V2dvxI;0.0;0.0;1
ADuBfLsEeraHdZ9R6majYLY3mUMiEX0f8geWFDdA2S19naJxeXr5CWVIAvyEmr3jlWPWiEbzbJGMFIjhWS8dZZj1IFvxSJCBfbIesc8hNyPOUCAyTdgtn7UbMyOO8YZtJNmLLvrhbpd9jTA82HJ5yu;0.0;0.0;1
APDzJdolfbfpS7P0xmgTjaN3jel0pNUR5tsaQaZLnXQSdDdrlUV2CWUydYuJW1yNjBhJsbi1R4otkzvp2FysflLAIFH4JE5VSzUMWgKbQtL5OpPBPKXqO9I8HXVTRblegF4IFeQNtTBXFZVN5k2x2Y;0.0;0.0;1
AQRZmr5hy7r269lh9VowRMRvz4yiWtIvh8YKPjV5cm1saakntMGno2uuckbcKpl4QBjtl2g5QX6c56cEVmPK08c8fl56jNQTidqtxNGs4fOsq19uebq6qqaxRnPIEl21olhYU5y5geaOZ09nEMtPfs;0.0;0.0;1
ARWGBRCm6h7qRsf2lY5MfcO7tGcWCDqjqQU9T24oL0Jdljr851UJUjaKUN4Mz4fqJAecOxb5LJnKfM4EpP7PkTFM4EmmHizmrhVIpch7vUf7HJQ0Si6HsXxUUKIuuxXPwGXs1nfn7xoAq6pwHRNZva;0.0;0.0;1
AcOoc6GweFuA8YpAzlgyu8UNZdCUFGwBMoFa1oabj8syjwPv528PKdv8WbAoX5vQUMMwkVlv3YxgviSPLLgHf0pJgFEyAOFz6Z61cE5thfwDJAN7BjRT100JCrGMFEfTzuMPh9b9hO1XM36ABbvkdF;0.0;0.0;1
AeDDO49QvnNTu1dKSaPmKFbqTT73avK9qvyvAYrdh9rFKgBmD5ts5H1c0cjrLfytlGdi8j55r05TE6JXngPl2z5NrgjnVfbzGOcBpv4zyzFTtBbbW4sY16qNrrnxieCP98GxAolD3GdY9H7NBNpyGt;0.0;0.0;1
AjEcQelyO49CQa2sS4ZU7eIQEuzJBM7D7yoj5wdICERrJOOZfexXGjGFe7eLYKMzJGJqAhUMfNGSRTLDAZglwmDeQPTj0rRPafJZQPEnu6pK6sHs2z04L4RewzvrZlQiGRpcnvO3xaDGTssIED6zpf;0.0;0.0;1
AuhyG5Up3rIEWWy0nmsQb0QW7lcNiFyBEroPysIVzRXdc3XMKY1lJgqeaMnCdhUKtRYa6RyfRdLV9C45azp16GwsvODT0NYDPEcsFS0ZozrVhYbBcX3juaIWhGidyi4Kc91GWrlznn8rwW6M3NLQ2j;0.0;0.0;1
B6CiKO2eGbmMOWRyilFzGI5mwDalcvTJ8nzbZnONutHn9OzzbKrREwL5myIW3UVPUHeh0v85iTH4ZoOcdLJgGkkyw3RzUBA7qKA6qvfeEPR4pElgCNCb0OKnBcZqO5Mu6dT01Kgryo40bNTUoPbPpI;0.0;0.0;1
